36.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
37.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
37.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
38.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
38.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
39.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
39.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
40.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
40.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
41.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
41.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
42.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
42.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
43.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
43.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
44.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
44.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
45.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
45.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
46.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
46.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
47.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
47.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
48.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
48.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
49.0000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
49.5000 (-0.7910,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
0.0000 (1.5000,-1.5000) (1.5000,-1.0000) (1.5000,-0.5000)
0.5000 (1.2909,-1.2798) (1.3000,-0.6464) (1.3000,-0.1050)
1.0000 (1.1955,-0.9210) (1.2000,-0.3041) (1.2000,0.2820)
1.5000 (1.1477,-0.5788) (1.1500,0.0172) (1.1439,0.6888)
2.0000 (1.1239,-0.2589) (1.1250,0.3099) (1.0916,1.0680)
2.5000 (1.1119,0.0343) (1.1125,0.5691) (0.6864,1.3610)
3.0000 (1.1060,0.2982) (1.1057,0.8054) (0.2813,1.6540)
3.5000 (1.1030,0.5313) (1.0999,1.0047) (-0.1238,1.9471)
4.0000 (1.1015,0.7337) (1.0879,1.1865) (-0.4369,2.1736)
4.5000 (1.1005,0.9095) (0.6018,1.3036) (-0.5934,2.2868)
5.0000 (1.0997,1.0583) (0.1157,1.4208) (-0.6717,2.3434)
5.5000 (0.6812,1.2968) (-0.3703,1.5379) (-0.7108,2.3717)
6.0000 (0.1904,1.3922) (-0.8101,1.6440) (-0.7304,2.3859)
6.5000 (-0.3004,1.4876) (-1.0300,1.6970) (-0.7402,2.3929)
7.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
7.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
8.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
8.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
9.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
9.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
10.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
10.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
11.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
11.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
12.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
12.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
13.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
13.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
14.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
14.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
15.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
15.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
16.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
16.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
17.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
